name,weight,factor,fraction_5fs_vs_4fs,reweighting_factor,final_weight
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320918,1.00257366971,0.,1.,1.00257366971
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320919,1.01682314796,0.,1.,1.01682314796
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320920,1.01164788185,0.,1.,1.01164788185
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320921,1.00374200304,0.,1.,1.00374200304
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320922,1.02381670009,0.,1.,1.02381670009
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320923,1.01407297136,0.,1.,1.01407297136
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320924,0.992935538043,0.,1.,0.992935538043
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320925,1.0049880201,0.,1.,1.0049880201
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320926,1.00156943028,0.,1.,1.00156943028
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320927,0.985255525581,0.,1.,0.985255525581
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320928,0.996520589047,0.,1.,0.996520589047
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320929,0.986219697453,0.,1.,0.986219697453
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320930,0.977321980625,0.,1.,0.977321980625
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320931,0.981549937465,0.,1.,0.981549937465
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320932,0.981498958,0.,1.,0.981498958
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320933,1.00153005047,0.,1.,1.00153005047
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320934,0.964403432405,0.,1.,0.964403432405
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320935,0.994249359,0.,1.,0.994249359
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320936,0.988887121947,0.,1.,0.988887121947
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320937,1.00930637926,0.,1.,1.00930637926
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320938,0.990438606731,0.,1.,0.990438606731
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320939,0.984917748171,0.,1.,0.984917748171
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320940,0.992477891422,0.,1.,0.992477891422
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320941,0.991332494799,0.,1.,0.991332494799
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320942,0.964856020834,0.,1.,0.964856020834
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320943,0.971596023619,0.,1.,0.971596023619
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320944,0.966372107217,0.,1.,0.966372107217
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320945,1.00013196563,0.,1.,1.00013196563
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320946,0.990121856912,0.,1.,0.990121856912
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320947,0.9840657486,0.,1.,0.9840657486
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320948,0.981557220678,0.,1.,0.981557220678
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320949,0.992794118625,0.,1.,0.992794118625
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320950,0.976313376253,0.,1.,0.976313376253
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320951,0.988833277596,0.,1.,0.988833277596
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320952,1.00006305736,0.,1.,1.00006305736
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320953,0.988026650823,0.,1.,0.988026650823
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320954,0.995320231098,0.,1.,0.995320231098
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320955,1.00107322988,0.,1.,1.00107322988
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320956,0.991234575996,0.,1.,0.991234575996
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320957,1.004554046,0.,1.,1.004554046
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320958,0.977922722051,0.,1.,0.977922722051
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320959,1.00020870385,0.,1.,1.00020870385
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320960,0.996513082084,0.,1.,0.996513082084
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320961,0.9913575685,0.,1.,0.9913575685
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320962,0.992518170413,0.,1.,0.992518170413
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320963,1.00720221837,0.,1.,1.00720221837
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320964,0.976048967584,0.,1.,0.976048967584
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320965,1.00560163475,0.,1.,1.00560163475
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320966,0.972809310679,0.,1.,0.972809310679
