sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_GT300
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306068,0.994554927838,0.994554927838,-1.0,-1.0,-1.0,-1.0,0.994554927838,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306069,0.994482529994,0.994482529994,-1.0,-1.0,-1.0,-1.0,0.994482529994,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306070,0.994834970707,0.994834970707,-1.0,-1.0,-1.0,-1.0,0.994834970707,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306071,0.994728829473,0.994728829473,-1.0,-1.0,-1.0,-1.0,0.994728829473,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306072,0.994659968256,0.994659968256,-1.0,-1.0,-1.0,-1.0,0.994659968256,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306073,0.994768745435,0.994768745435,-1.0,-1.0,-1.0,-1.0,0.994768745435,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306074,0.9945984989710001,0.9945984989710001,-1.0,-1.0,-1.0,-1.0,0.9945984989710001,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306075,0.9946687471019999,0.9946687471019999,-1.0,-1.0,-1.0,-1.0,0.9946687471019999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306076,0.994638781231,0.994638781231,-1.0,-1.0,-1.0,-1.0,0.994638781231,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306077,0.9947558925650001,0.9947558925650001,-1.0,-1.0,-1.0,-1.0,0.9947558925650001,-1.0,-1.0,-1.0,-1.0,-1.0
